=== NEAR-EMPTY CSV FILES (1-5 data rows only — likely 1-2 stray trades) ===
Total: 3,927
These files have very few data rows (1-5). Either the strike had almost no
trading activity, or the data is incomplete. Vendor should confirm or backfill.

Format: SYMBOL  STRIKE  OPT  EXPIRY  ROWS  FILEPATH
NIFTY   10900  CE   2020-01-09  rows= 3  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-09/NIFTY_10900_CE_09_JAN_20.csv
NIFTY   11150  CE   2020-01-09  rows= 4  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-09/NIFTY_11150_CE_09_JAN_20.csv
NIFTY   11550  CE   2020-01-09  rows= 1  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-09/NIFTY_11550_CE_09_JAN_20.csv
NIFTY   12850  CE   2020-01-09  rows= 2  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-09/NIFTY_12850_CE_09_JAN_20.csv
NIFTY   13100  CE   2020-01-09  rows= 5  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-09/NIFTY_13100_CE_09_JAN_20.csv
NIFTY   13100  PE   2020-01-09  rows= 2  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-09/NIFTY_13100_PE_09_JAN_20.csv
NIFTY   13600  CE   2020-01-09  rows= 4  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-09/NIFTY_13600_CE_09_JAN_20.csv
NIFTY   10350  CE   2020-01-16  rows= 3  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-16/NIFTY_10350_CE_16_JAN_20.csv
NIFTY   10500  PE   2020-01-16  rows= 3  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-16/NIFTY_10500_PE_16_JAN_20.csv
NIFTY   10900  PE   2020-01-16  rows= 5  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-16/NIFTY_10900_PE_16_JAN_20.csv
NIFTY   11050  PE   2020-01-16  rows= 4  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-16/NIFTY_11050_PE_16_JAN_20.csv
NIFTY   11350  CE   2020-01-16  rows= 1  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-16/NIFTY_11350_CE_16_JAN_20.csv
NIFTY   11550  CE   2020-01-16  rows= 2  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-16/NIFTY_11550_CE_16_JAN_20.csv
NIFTY   12750  PE   2020-01-16  rows= 2  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-16/NIFTY_12750_PE_16_JAN_20.csv
NIFTY   13100  PE   2020-01-16  rows= 1  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-16/NIFTY_13100_PE_16_JAN_20.csv
NIFTY   13350  PE   2020-01-16  rows= 3  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-16/NIFTY_13350_PE_16_JAN_20.csv
NIFTY   13450  CE   2020-01-16  rows= 4  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-16/NIFTY_13450_CE_16_JAN_20.csv
NIFTY   13650  CE   2020-01-16  rows= 2  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-16/NIFTY_13650_CE_16_JAN_20.csv
NIFTY   13700  CE   2020-01-16  rows= 3  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-16/NIFTY_13700_CE_16_JAN_20.csv
NIFTY   10550  PE   2020-01-23  rows= 2  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-23/NIFTY_10550_PE_23_JAN_20.csv
NIFTY   10800  PE   2020-01-23  rows= 5  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-23/NIFTY_10800_PE_23_JAN_20.csv
NIFTY   11200  CE   2020-01-23  rows= 4  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-23/NIFTY_11200_CE_23_JAN_20.csv
NIFTY   11250  CE   2020-01-23  rows= 3  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-23/NIFTY_11250_CE_23_JAN_20.csv
NIFTY   11350  CE   2020-01-23  rows= 2  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-23/NIFTY_11350_CE_23_JAN_20.csv
NIFTY   11450  CE   2020-01-23  rows= 5  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-23/NIFTY_11450_CE_23_JAN_20.csv
NIFTY   11600  CE   2020-01-23  rows= 5  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-23/NIFTY_11600_CE_23_JAN_20.csv
NIFTY   11650  CE   2020-01-23  rows= 2  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-23/NIFTY_11650_CE_23_JAN_20.csv
NIFTY   12650  PE   2020-01-23  rows= 2  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-23/NIFTY_12650_PE_23_JAN_20.csv
NIFTY   12750  PE   2020-01-23  rows= 2  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-23/NIFTY_12750_PE_23_JAN_20.csv
NIFTY   12900  PE   2020-01-23  rows= 2  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-23/NIFTY_12900_PE_23_JAN_20.csv
NIFTY   12950  CE   2020-01-23  rows= 4  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-23/NIFTY_12950_CE_23_JAN_20.csv
NIFTY   13050  CE   2020-01-23  rows= 2  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-23/NIFTY_13050_CE_23_JAN_20.csv
NIFTY   13350  CE   2020-01-23  rows= 3  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-23/NIFTY_13350_CE_23_JAN_20.csv
NIFTY   13650  CE   2020-01-23  rows= 4  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-23/NIFTY_13650_CE_23_JAN_20.csv
NIFTY   10950  CE   2020-01-30  rows= 1  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-30/NIFTY_10950_CE_30_JAN_20.csv
NIFTY   10950  PE   2020-01-30  rows= 1  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-30/NIFTY_10950_PE_30_JAN_20.csv
NIFTY   11050  CE   2020-01-30  rows= 2  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-30/NIFTY_11050_CE_30_JAN_20.csv
NIFTY   11150  CE   2020-01-30  rows= 2  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-30/NIFTY_11150_CE_30_JAN_20.csv
NIFTY   11250  CE   2020-01-30  rows= 2  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-30/NIFTY_11250_CE_30_JAN_20.csv
NIFTY   11350  CE   2020-01-30  rows= 2  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-30/NIFTY_11350_CE_30_JAN_20.csv
NIFTY   11550  CE   2020-01-30  rows= 2  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-30/NIFTY_11550_CE_30_JAN_20.csv
NIFTY   12850  PE   2020-01-30  rows= 3  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-30/NIFTY_12850_PE_30_JAN_20.csv
NIFTY   13350  PE   2020-01-30  rows= 1  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-30/NIFTY_13350_PE_30_JAN_20.csv
NIFTY   13400  PE   2020-01-30  rows= 2  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-30/NIFTY_13400_PE_30_JAN_20.csv
NIFTY   13550  CE   2020-01-30  rows= 1  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-30/NIFTY_13550_CE_30_JAN_20.csv
NIFTY   13850  PE   2020-01-30  rows= 1  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-01-30/NIFTY_13850_PE_30_JAN_20.csv
NIFTY   10500  CE   2020-02-06  rows= 5  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-02-06/NIFTY_10500_CE_06_FEB_20.csv
NIFTY   10750  PE   2020-02-06  rows= 4  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-02-06/NIFTY_10750_PE_06_FEB_20.csv
NIFTY   12700  PE   2020-02-06  rows= 4  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-02-06/NIFTY_12700_PE_06_FEB_20.csv
NIFTY   13050  CE   2020-02-06  rows= 5  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-02-06/NIFTY_13050_CE_06_FEB_20.csv
NIFTY   13200  PE   2020-02-06  rows= 4  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-02-06/NIFTY_13200_PE_06_FEB_20.csv
NIFTY   13250  CE   2020-02-06  rows= 2  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-02-06/NIFTY_13250_CE_06_FEB_20.csv
NIFTY   10150  CE   2020-02-13  rows= 3  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-02-13/NIFTY_10150_CE_13_FEB_20.csv
NIFTY   10250  CE   2020-02-13  rows= 4  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-02-13/NIFTY_10250_CE_13_FEB_20.csv
NIFTY   10300  PE   2020-02-13  rows= 5  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-02-13/NIFTY_10300_PE_13_FEB_20.csv
NIFTY   10500  PE   2020-02-13  rows= 2  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-02-13/NIFTY_10500_PE_13_FEB_20.csv
NIFTY   10800  PE   2020-02-13  rows= 1  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-02-13/NIFTY_10800_PE_13_FEB_20.csv
NIFTY   11150  PE   2020-02-13  rows= 2  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-02-13/NIFTY_11150_PE_13_FEB_20.csv
NIFTY   11250  CE   2020-02-13  rows= 4  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-02-13/NIFTY_11250_CE_13_FEB_20.csv
NIFTY   11300  CE   2020-02-13  rows= 5  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-02-13/NIFTY_11300_CE_13_FEB_20.csv
NIFTY   11350  CE   2020-02-13  rows= 1  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-02-13/NIFTY_11350_CE_13_FEB_20.csv
NIFTY   12750  PE   2020-02-13  rows= 1  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-02-13/NIFTY_12750_PE_13_FEB_20.csv
NIFTY   12950  CE   2020-02-13  rows= 2  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-02-13/NIFTY_12950_CE_13_FEB_20.csv
NIFTY   13000  PE   2020-02-13  rows= 4  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-02-13/NIFTY_13000_PE_13_FEB_20.csv
NIFTY   13200  PE   2020-02-13  rows= 3  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-02-13/NIFTY_13200_PE_13_FEB_20.csv
NIFTY   13350  CE   2020-02-13  rows= 1  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-02-13/NIFTY_13350_CE_13_FEB_20.csv
NIFTY   13500  PE   2020-02-13  rows= 1  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-02-13/NIFTY_13500_PE_13_FEB_20.csv
NIFTY   13550  CE   2020-02-13  rows= 1  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-02-13/NIFTY_13550_CE_13_FEB_20.csv
NIFTY   13700  CE   2020-02-13  rows= 4  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-02-13/NIFTY_13700_CE_13_FEB_20.csv
NIFTY   10150  CE   2020-02-20  rows= 4  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-02-20/NIFTY_10150_CE_20_FEB_20.csv
NIFTY   10150  PE   2020-02-20  rows= 5  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-02-20/NIFTY_10150_PE_20_FEB_20.csv
NIFTY   10450  PE   2020-02-20  rows= 2  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-02-20/NIFTY_10450_PE_20_FEB_20.csv
NIFTY   10750  PE   2020-02-20  rows= 3  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-02-20/NIFTY_10750_PE_20_FEB_20.csv
NIFTY   10900  CE   2020-02-20  rows= 2  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-02-20/NIFTY_10900_CE_20_FEB_20.csv
NIFTY   11350  PE   2020-02-20  rows= 2  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-02-20/NIFTY_11350_PE_20_FEB_20.csv
NIFTY   11650  CE   2020-02-20  rows= 4  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-02-20/NIFTY_11650_CE_20_FEB_20.csv
NIFTY   12650  PE   2020-02-20  rows= 2  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-02-20/NIFTY_12650_PE_20_FEB_20.csv
NIFTY   12750  CE   2020-02-20  rows= 2  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-02-20/NIFTY_12750_CE_20_FEB_20.csv
NIFTY   12850  CE   2020-02-20  rows= 4  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-02-20/NIFTY_12850_CE_20_FEB_20.csv
NIFTY   13500  PE   2020-02-20  rows= 2  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-02-20/NIFTY_13500_PE_20_FEB_20.csv
NIFTY   13850  CE   2020-02-20  rows= 2  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-02-20/NIFTY_13850_CE_20_FEB_20.csv
NIFTY   10150  CE   2020-02-27  rows= 5  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-02-27/NIFTY_10150_CE_27_FEB_20.csv
NIFTY   10250  CE   2020-02-27  rows= 2  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-02-27/NIFTY_10250_CE_27_FEB_20.csv
NIFTY   10550  CE   2020-02-27  rows= 1  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-02-27/NIFTY_10550_CE_27_FEB_20.csv
NIFTY   10750  CE   2020-02-27  rows= 1  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-02-27/NIFTY_10750_CE_27_FEB_20.csv
NIFTY   11150  CE   2020-02-27  rows= 5  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-02-27/NIFTY_11150_CE_27_FEB_20.csv
NIFTY   12750  PE   2020-02-27  rows= 2  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-02-27/NIFTY_12750_PE_27_FEB_20.csv
NIFTY   12850  PE   2020-02-27  rows= 3  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-02-27/NIFTY_12850_PE_27_FEB_20.csv
NIFTY   13050  PE   2020-02-27  rows= 2  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-02-27/NIFTY_13050_PE_27_FEB_20.csv
NIFTY   13350  CE   2020-02-27  rows= 5  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-02-27/NIFTY_13350_CE_27_FEB_20.csv
NIFTY   13850  PE   2020-02-27  rows= 1  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-02-27/NIFTY_13850_PE_27_FEB_20.csv
NIFTY   10050  CE   2020-03-05  rows= 2  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-03-05/NIFTY_10050_CE_05_MAR_20.csv
NIFTY   10250  CE   2020-03-05  rows= 4  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-03-05/NIFTY_10250_CE_05_MAR_20.csv
NIFTY   10350  CE   2020-03-05  rows= 2  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-03-05/NIFTY_10350_CE_05_MAR_20.csv
NIFTY   12650  CE   2020-03-05  rows= 1  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-03-05/NIFTY_12650_CE_05_MAR_20.csv
NIFTY   12700  PE   2020-03-05  rows= 2  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-03-05/NIFTY_12700_PE_05_MAR_20.csv
NIFTY   12750  PE   2020-03-05  rows= 1  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-03-05/NIFTY_12750_PE_05_MAR_20.csv
NIFTY   12850  PE   2020-03-05  rows= 2  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-03-05/NIFTY_12850_PE_05_MAR_20.csv
NIFTY   12950  PE   2020-03-05  rows= 1  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-03-05/NIFTY_12950_PE_05_MAR_20.csv
NIFTY   13000  PE   2020-03-05  rows= 2  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-03-05/NIFTY_13000_PE_05_MAR_20.csv
NIFTY   13050  PE   2020-03-05  rows= 1  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-03-05/NIFTY_13050_PE_05_MAR_20.csv
NIFTY   13100  CE   2020-03-05  rows= 1  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-03-05/NIFTY_13100_CE_05_MAR_20.csv
NIFTY   13100  PE   2020-03-05  rows= 1  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-03-05/NIFTY_13100_PE_05_MAR_20.csv
NIFTY   13150  CE   2020-03-05  rows= 4  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-03-05/NIFTY_13150_CE_05_MAR_20.csv
NIFTY   13600  CE   2020-03-05  rows= 2  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-03-05/NIFTY_13600_CE_05_MAR_20.csv
NIFTY    9650  CE   2020-03-05  rows= 1  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-03-05/NIFTY_9650_CE_05_MAR_20.csv
NIFTY   12150  PE   2020-03-12  rows= 2  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-03-12/NIFTY_12150_PE_12_MAR_20.csv
NIFTY   12250  PE   2020-03-12  rows= 1  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-03-12/NIFTY_12250_PE_12_MAR_20.csv
NIFTY   12400  PE   2020-03-12  rows= 1  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-03-12/NIFTY_12400_PE_12_MAR_20.csv
NIFTY   12600  PE   2020-03-12  rows= 2  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-03-12/NIFTY_12600_PE_12_MAR_20.csv
NIFTY   12800  PE   2020-03-12  rows= 4  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-03-12/NIFTY_12800_PE_12_MAR_20.csv
NIFTY   12950  CE   2020-03-12  rows= 1  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-03-12/NIFTY_12950_CE_12_MAR_20.csv
NIFTY   13450  CE   2020-03-12  rows= 3  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-03-12/NIFTY_13450_CE_12_MAR_20.csv
NIFTY   13500  PE   2020-03-12  rows= 1  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-03-12/NIFTY_13500_PE_12_MAR_20.csv
NIFTY   13550  CE   2020-03-12  rows= 2  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-03-12/NIFTY_13550_CE_12_MAR_20.csv
NIFTY   13700  CE   2020-03-12  rows= 4  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-03-12/NIFTY_13700_CE_12_MAR_20.csv
NIFTY    8950  CE   2020-03-12  rows= 1  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-03-12/NIFTY_8950_CE_12_MAR_20.csv
NIFTY    9350  CE   2020-03-12  rows= 1  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-03-12/NIFTY_9350_CE_12_MAR_20.csv
NIFTY   10850  PE   2020-03-19  rows= 5  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-03-19/NIFTY_10850_PE_19_MAR_20.csv
NIFTY   11050  PE   2020-03-19  rows= 1  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-03-19/NIFTY_11050_PE_19_MAR_20.csv
NIFTY   11900  PE   2020-03-19  rows= 1  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-03-19/NIFTY_11900_PE_19_MAR_20.csv
NIFTY   12300  PE   2020-03-19  rows= 2  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-03-19/NIFTY_12300_PE_19_MAR_20.csv
NIFTY   12400  PE   2020-03-19  rows= 4  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-03-19/NIFTY_12400_PE_19_MAR_20.csv
NIFTY   12450  CE   2020-03-19  rows= 4  Backtesting Options Data/nifty 2014-2024 mid/2020/2020-03-19/NIFTY_12450_CE_19_MAR_20.csv
