Name,Registration No.,Validity,E-mail,Contact Person,Address,Correspondence Address,Telephone,Fax No.,State,City
1Funds Trust,IN/AIF1/17-18/0344,Jun 27 2017 - Perpetual,,,"601,6th Floor Keshava, Bandra Kurla Complex, Bandra East, MUMBAI, MAHARASHTRA, 400051",,,,MAHARASHTRA,MUMBAI
1Funds Trust 2,IN/AIF1/22-23/1078,Jun 04 2022 - Perpetual,anil.gudibande@1crowd.co,Anil Gudibande,"First Floor, Flat No. 101,Siddhivinayak, Union Park, 1st Cross Road, Khar West,, MUMBAI, MAHARASHTRA, 400052","First Floor, Flat No. 101,Siddhivinayak, Union Park, 1st Cross Road, Khar West, MUMBAI, MAHARASHTRA, 400052",,,MAHARASHTRA,MUMBAI
247VC Investment Trust,IN/AIF2/25-26/1810,May 21 2025 - Perpetual,yagnesh@247vc.in,Yagnesh Sanghrajka,"10th Floor, 1006, The Address by Wadhwa Group, LBS Marg, Opp RCity Mall, Ghatkopar West, MUMBAI, MAHARASHTRA, 400086","91, Springboard, Godrej Compound, Opp Vikhroli Bus Depot, LBS Marg, Vikhroli West, MUMBAI, MAHARASHTRA, 400079",,,MAHARASHTRA,MUMBAI
2Point2 Capital Trust,IN/AIF3/19-20/0686,Apr 23 2019 - Perpetual,bhavit@2point2capital.com,Bhavit Visaria,"D/907 Oberoi Splendor, Opp. Majas Depot JV Link Road Andheri East, MUMBAI, MAHARASHTRA, 400060","D/907 Oberoi Splendor, Opp. Majas Depot JV Link Road Andheri East, MUMBAI, MAHARASHTRA, 400060",,,MAHARASHTRA,MUMBAI
31 Degrees North Fund,IN/AIF3/25-26/1798,Apr 24 2025 - Perpetual,tejasshah@31degreesnorth.in,Tejas Shah,"23 Narayan Chambers, Opp Patang Hotel Nr Nehru Bridge Ellisbridge, AHMEDABAD, GUJARAT, 380009","23 Narayan Chambers, Opp Patang Hotel Nr Nehru Bridge Ellisbridge, AHMEDABAD, GUJARAT, 380009",,,GUJARAT,
35North India Growth Fund Trust,IN/AIF1/17-18/0321,Apr 19 2017 - Perpetual,,,,,,,,
360 ONE ALTERNATIVE OPPORTUNITIES FUND,IN/AIF3/16-17/0286,Dec 22 2016 - Perpetual,ashutosh.naik@iiflw.com,Ashutosh Naik,"IIFL Centre, Kamala city, Senapati Bapat Marg, lower parel, MUMBAI, MAHARASHTRA, 400013",,,,MAHARASHTRA,MUMBAI
360 ONE Asset Angel Fund 1,IN/AIF1/21-22/1011,Mar 14 2022 - Perpetual,nandini@mumbaiangels.com,Nandini Mansinghka,"360 ONE Centre, Kamala City, Senapati Bapat Marg, Lower Parel, MUMBAI, MAHARASHTRA, 400013","360 ONE Centre, Kamala City, Senapati Bapat Marg, Lower Parel, MUMBAI, MAHARASHTRA, 400013",,,MAHARASHTRA,MUMBAI
360 ONE Opportunities Fund,IN/AIF3/12-13/0016,Nov 16 2012 - Perpetual,Meetali.Mistry@iiflw.com,Meetali Mistry,"IIFL Centre, Kamala City, Senapati Bapat Marg, Lower Parel, MUMBAI, MAHARASHTRA, 400013",,,,MAHARASHTRA,MUMBAI
360 ONE Private Equity Fund,IN/AIF2/12-13/0015,Nov 16 2012 - Perpetual,ashutosh.naik@iiflw.com,Ashutosh Naik,"360 ONE Centre, Kamala City, Senapati Bapat Marg, lower parel, MUMBAI, MAHARASHTRA, 400013",,,,MAHARASHTRA,MUMBAI
360 ONE Venture Capital Trust,IN/AIF2/20-21/0838,Nov 02 2020 - Perpetual,samay@scaleventurecap.com,Samay Kala,"360 ONE Centre, Kamala Mills Compound, Senapati Bapat Marg,, Lower Parel, Mumbai 400013, MUMBAI, MAHARASHTRA, 400013","360 ONE Centre, Kamala Mills Compound, Senapati Bapat Marg, Lower Parel, Mumbai 400013, MUMBAI, MAHARASHTRA, 400013",,,MAHARASHTRA,MUMBAI
360 Rising Straits Capital Fund,IN/AIF2/20-21/0830,Oct 07 2020 - Perpetual,gaurav@risingstraits.com,Gaurav Rakyan,"Unit No 1117, 11th Floor, Tower B, Vatika Towers, Golf Course Road, Sector 54, GURGAON, HARYANA, 122002","Unit No. 1117, 11th Floor, Tower B, Vatika Towers, Golf Course Road, Sector 54, Gurgaon, GURGAON, HARYANA, 122002",1244353830.0,1244353830.0,HARYANA,
3F Ventures,IN/AIF1/16-17/0301,Feb 20 2017 - Perpetual,,,"Unit No 4, Jetha Compound,Opp Nirmal Park, Byculla East, MUMBAI, MAHARASHTRA, 400027",,,,MAHARASHTRA,MUMBAI
3ONE4 CAPITAL BREAKTHROUGH DYNAMICS FUND,IN/AIF2/25-26/2006,Jan 02 2026 - Perpetual,DEEPAK@3ONE4CAPITAL.COM,SIDDARTH PAI,"OFFICE NO. 01, 5th FLOOR, 1 SOBHA, 50 ST. MARKS ROAD, BANGALORE, KARNATAKA, 560001","OFFICE NO. 01, 5th FLOOR, 1 SOBHA, 50 ST. MARKS ROAD, BANGALORE, KARNATAKA, 560001",,,KARNATAKA,BANGALORE
3ONE4 CAPITAL INDIA INTERNET DYNAMICS,IN/AIF1/22-23/1215,Feb 24 2023 - Perpetual,deepak@3one4capital.com,SIDDARTH PAI,"Office No. 01, 5th floor, 1 Sobha, 50, St. Marks Road, BANGALORE, KARNATAKA, 560001","Office No. 01, 5th Floor, 1 Sobha, 50, St. Marks Road, BANGALORE, KARNATAKA, 560001",,,KARNATAKA,BANGALORE
3ONE4CAPITAL TRUST,IN/AIF1/15-16/0204,"Feb 04, 2016 - Perpetual",,,"Office No. 01, 5th Floor, , 1 Sobha, 50 St Marks Road, BANGALORE, KARNATAKA, 560001",,,,KARNATAKA,BANGALORE
3P INDIA EQUITY FUND,IN/AIF3/22-23/1221,"Mar 02, 2023 - Perpetual",sharadm@3pim.in,Sharad Mohnot,"201 East wing, 2nd Floor, Nirlon House, Dr. Annie Besant Road, Worli, MUMBAI, MAHARASHTRA, 400030","201 East wing, 2nd Floor, Nirlon House, Dr. Annie Besant Road, Worli, MUMBAI, MAHARASHTRA, 400030",,,MAHARASHTRA,MUMBAI
5 RIVERS CAPITAL TRUST I,IN/AIF2/24-25/1652,"Dec 04, 2024 - Perpetual",droy@5riverscap.com,Deepto Roy,"C 1103 Floor 11 Plot 180 188 C Ashok Garden Tower 1 Tokersey Jivraj Road Swan Mill Compound Sewri, MUMBAI, MAHARASHTRA, 400015","34A Jolly Maker Chambers II Nariman Point, MUMBAI, MAHARASHTRA, 400021",,,MAHARASHTRA,MUMBAI
77 EAST VENTURE FUND,IN/AIF1/23-24/1390,"Nov 23, 2023 - Perpetual",dhiraj@77eastvp.com,DHIRAJ GUPTA,"Flat No.4C, Coventry Apartments, No. 28, Convent Road, Richmond Town, BANGALORE, KARNATAKA, 560025","Flat No.4C, Coventry Apartments, No. 28, Convent Road, Richmond Town, BANGALORE, KARNATAKA, 560025",,,KARNATAKA,BANGALORE
888vc Accelerator Fund,IN/AIF1/24-25/1727,"Feb 17, 2025 - Perpetual",rohit@888vc.co,ROHIT BAFNA,"C823 Parimala Sunridge Apartment, Siddhapura Whitefield, BANGALORE, KARNATAKA, 560066","C823 Parimala Sunridge Apartment, Siddhapura Whitefield, BANGALORE, KARNATAKA, 560066",,,KARNATAKA,BANGALORE
8X VENTURES FUND,IN/AIF2/23-24/1480,"Mar 27, 2024 - Perpetual",8xventures.nda@nishithdesai.com,Chirag Gupta,"8X Ventures Fund at H No. 1, First Floor, KH No. 619 7, Opp. Tivoli Garden, Chattarpur, New Delhi 11, DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110074","8X Ventures Fund at H No. 1, First Floor, KH No. 619 7, Opp. Tivoli Garden, Chattarpur, New Delhi 11, DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110074",,,NATIONAL CAPITAL TERRITORY OF DELHI,NEW DELHI
9Unicorns Accelerator Fund,IN/AIF1/18-19/0663,"Mar 29, 2019 - Perpetual",info@vcatsaccelerator.com,APOORV SHARMA,"203 204, Mittal Commercia,, Off Andheri Kurla Road, Andheri East, MUMBAI, MAHARASHTRA, 400059","203 204, Mittal Commercia, Off Andheri Kurla Road, Andheri East, MUMBAI, MAHARASHTRA, 400059",,,MAHARASHTRA,MUMBAI
A K ALTERNATIVE INVESTMENTS TRUST II,IN/AIF2/23-24/1311,"Jul 19, 2023 - Perpetual",vikas@akgroup.co.in,Vikas Jain,"604, 6th Floor, Windsor, Off CST Road, Kalina, Santacruz, East, MUMBAI, MAHARASHTRA, 400098","604, 6th Floor, Windsor, Off CST Road, Kalina, Santacruz, East, MUMBAI, MAHARASHTRA, 400098",9100000000000.0,9100000000000.0,MAHARASHTRA,MUMBAI
A88 TRUST,IN/AIF2/25-26/2069,"Feb 27, 2026 - Perpetual",compliance.aif@infoedge.com,NITIN GUPTA,"Unit No. GF 12A, 94, Meghdoot,, Nehru Place, New Delhi 110019, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110019",,,,NATIONAL CAPITAL TERRITORY OF DELHI,NEW DELHI
A91 EMERGING FUND I LLP,IN/AIF2/19-20/0712,"Jul 03, 2019 - Perpetual",nari@a91partners.com,R Narayanan,"1001 & 1002, Lodha Supremus, Dr. E. Moses Road, Worli Naka, MUMBAI, MAHARASHTRA, 400018","1001 & 1002, Lodha Supremus, Dr. E. Moses Road, Worli Naka, MUMBAI, MAHARASHTRA, 400018",,,MAHARASHTRA,MUMBAI
A91 Emerging Fund II LLP,IN/AIF2/21-22/0940,"Oct 20, 2021 - Perpetual",ruchi@a91partners.com,Ruchi Dsouza,"Number 1001 and 1002, Lodha Supremus, Dr. E. Moses Road, Worli Naka, MUMBAI, MAHARASHTRA, 400018","Number 1001 and 1002, Lodha Supremus, Dr. E. Moses Road, Worli Naka, MUMBAI, MAHARASHTRA, 400018",,,MAHARASHTRA,MUMBAI
A91 Emerging Fund III LLP,IN/AIF2/24-25/1707,"Feb 05, 2025 - Perpetual",ruchi@a91partners.com,Ruchi Khajanchi,"702 Orchid Tower A 241242 Bellasis Road Mumbai Central Mumbai 400008, MUMBAI, MAHARASHTRA, 400008","Number 1001 1002 Lodha Supremus Dr. E. Moses Road Worli Naka Mumbai Maharashtra, India 400018, MUMBAI, MAHARASHTRA, 400018",,,MAHARASHTRA,MUMBAI
A91 Partners Trust,IN/AIF2/19-20/0697,"May 22, 2019 - Perpetual",nari@a91partners.com,R Narayanan,"F-801, Jay Balaji CHS Ltd, Plot No. 26, Sector-6, Nerul, Navi Mumbai Thane, THANE, MAHARASHTRA, 400706","1001 & 1002, Lodha Supremus, Dr.E Moses Road, Worli Naka, MUMBAI, MAHARASHTRA, 400018",,,MAHARASHTRA,MUMBAI
A91 Partners Trust II,IN/AIF2/21-22/0950,"Nov 08, 2021 - Perpetual",ruchi@a91partners.com,Ruchi Khajanchi,"1001 & 1002, Lodha Supremus, , Dr. E. Moses Road, Worli Naka, Mumbai 400018, MUMBAI, MAHARASHTRA, 400018","1001 & 1002, Lodha Supremus, , Dr. E. Moses Road, Worli Naka, Mumbai 400018, MUMBAI, MAHARASHTRA, 400018",,,MAHARASHTRA,MUMBAI
A91 Partners Trust III,IN/AIF2/24-25/1755,"Mar 10, 2025 - Perpetual",ruchi@a91partners.com,Ruchi Khajanchi,"1001 and 1002, Lodha Supremus, Dr.E Moses Road, Worli Naka, Mumbai, Maharashtra,India 400018, MUMBAI, MAHARASHTRA, 400018","1001 and 1002, Lodha Supremus, Dr.E Moses Road, Worli Naka, Mumbai, Maharashtra,India 400018, MUMBAI, MAHARASHTRA, 400018",9110000000000.0,9110000000000.0,MAHARASHTRA,MUMBAI
a99 Investment AIF Trust,IN/AIF2/25-26/2079,"Mar 06, 2026 - Perpetual",compliance@a99.vc,Ganesh Sathyamurthy,"No. 74, 1st Floor, Fagun Mansion, Ethiraj Salai, Egmore, Chennai 600008, CHENNAI, TAMIL NADU, 600008",,,,TAMIL NADU,CHENNAI
AAA India Equity Fund,IN/AIF3/22-23/1226,"Mar 09, 2023 - Perpetual",mayurthakur@alfaccurate.com,Mayur Thakhur,"503, B wing, Naman Midtown, Senapati Bapat Road, MUMBAI, MAHARASHTRA, 400013","503, B wing, Naman Midtown, Senapati Bapat Road, MUMBAI, MAHARASHTRA, 400013",,,MAHARASHTRA,MUMBAI
AAA Zenith Fund,IN/AIF2/25-26/2022,"Jan 20, 2026 - Perpetual",compliance@alfaccurate.com,Chirag Vaja,"503 B Wing Naman Midtown , Senapati Bapat Road Mumbai 400013 Maharashtra India, MUMBAI, MAHARASHTRA, 400013","503 B Wing Naman Midtown , Senapati Bapat Road Mumbai 400013 Maharashtra India, MUMBAI, MAHARASHTRA, 400013",,,MAHARASHTRA,MUMBAI
Aabhuti Investment Fund Trust,IN/AIF2/23-24/1446,"Feb 07, 2024 - Perpetual",shankar.s@refex.co.in,Dinesh Agarwal,"Second Floor, Refex Towers, Sterling Road Signal 313,, Valluvar Kottam High Road, Nungambakkam, CHENNAI, TAMIL NADU, 600034","Second Floor, Refex Towers, Sterling Road Signal 313, Valluvar Kottam High Road, Nungambakkam, CHENNAI, TAMIL NADU, 600034",,,TAMIL NADU,CHENNAI
Aagama Ventures Trust,IN/AIF2/25-26/1879,"Aug 18, 2025 - Perpetual",shubhanga@aagama.vc,Shubhanga Prasad,"B 104 Powai Jaltarang CHS Powai Police Station, Rambaug Powai Mumbai Suburban, MUMBAI, MAHARASHTRA, 400076","B 104 Powai Jaltarang CHS Powai Police Station, Rambaug Powai Mumbai Suburban, MUMBAI, MAHARASHTRA, 400076",,,MAHARASHTRA,MUMBAI
Aarambh Fund 1,IN/AIF2/23-24/1397,"Dec 01, 2023 - Perpetual",suresh291974@gmail.com,SURESH NARASIMHA,"No 96 5th Main Near Channaman Kere, Achukattu Telephone Exchange Banashankari 3rd stage, BANGALORE, KARNATAKA, 560085","No 96 5th Main Near Channaman Kere, Achukattu Telephone Exchange Banashankari 3rd stage, BANGALORE, KARNATAKA, 560085",,,KARNATAKA,BANGALORE
Aaroh Capital Trust,IN/AIF2/25-26/1875,"Aug 12, 2025 - Perpetual",amber@aarohcapital.in,Amber Maheshwari,"No. 367, 3rd Floor, 100 Feet Road, HAL 2nd Stage, Indiranagar, BANGALORE, KARNATAKA, 5600038","No. 367, 3rd Floor, 100 Feet Road, HAL 2nd Stage, Indiranagar, BANGALORE, KARNATAKA, 5600038",,,KARNATAKA,BANGALORE
Aarth.AIF,IN/AIF3/24-25/1610,"Oct 07, 2024 - Perpetual",aarthfundmanager@gmail.com,Rishi Agarwal,"The Ruby 2nd Floor SW 29 Senapati Bapat Marg, Dadar west Mumbai, MUMBAI, MAHARASHTRA, 400028","A 505 North Block World Trade Park, JLN Marg Jaipur, JAIPUR, RAJASTHAN, 302017",,,MAHARASHTRA,MUMBAI
AARUHA TECHNOLOGY FUND,IN/AIF1/15-16/0154,"Jun 01, 2015 - Perpetual",,,,,,,,
Aavihi India Trust,IN/AIF3/25-26/2050,"Feb 16, 2026 - Perpetual",meghna.agrawal@aavihi.com,Meghna Agrawal,"261 A Bommasandra Industrial Area, Hosur Road, BANGALORE, KARNATAKA, 560099","261 A Bommasandra Industrial Area, Hosur Road, BANGALORE, KARNATAKA, 560099",,,KARNATAKA,BANGALORE
AAVISHKAAR BHARAT FUND,IN/AIF2/16-17/0269,"Oct 18, 2016 - Perpetual",,,"Unit no 202, 203, 204, 2nd floor,Naman Centre, G block, Bandra Kurla Complex, Bandra East,, MUMBAI, MAHARASHTRA, 400051",,,,MAHARASHTRA,MUMBAI
Aavishkaar India Fund VI,IN/AIF2/21-22/0877,"Apr 27, 2021 - Perpetual",amol_ganu@aavishkaar.in,Amol Ganu,"Unit no 202, 203, 204, 2nd floor,Naman Centre, G block, Bandra Kurla Complex, Bandra East,, MUMBAI, MAHARASHTRA, 400051","Unit no 202, 203, 204, 2nd floor,Naman Centre, G block, Bandra Kurla Complex, Bandra East, MUMBAI, MAHARASHTRA, 400051",,,MAHARASHTRA,MUMBAI
Abakkus Growth Fund,IN/AIF3/18-19/0550,"Jun 05, 2018 - Perpetual",biharilal.deora@abakkusinvest.com,Biharilal Deora,"6th Floor,Param House,Shanti Nagar,Santacruz Chembur Link Road, Santacruz East, MUMBAI, MAHARASHTRA, 400055","6th Floor,Param House,Shanti Nagar,Santacruz Chembur Link Road, Santacruz East, MUMBAI, MAHARASHTRA, 400055",,,MAHARASHTRA,MUMBAI
ABAKKUS INDIA EQUITY TRUST,IN/AIF3/23-24/1326,"Aug 09, 2023 - Perpetual",complianceteam@abakkusinvest.com,Biharilal Deora,"Abakkus Corporate Center, Sixth Floor, Param House, Shanti Nagar, Santacruz Chembur Link Road, Santacruz, MUMBAI, MAHARASHTRA, 400055","Abakkus Corporate Center, Sixth Floor, Param House, Shanti Nagar, Santacruz Chembur Link Road, Santacruz, MUMBAI, MAHARASHTRA, 400055",,,MAHARASHTRA,MUMBAI
ABANS INVESTMENT TRUST,IN/AIF2/21-22/0896,"Jun 25, 2021 - Perpetual",abans.nda@nishithdesai.com,RAJENDRA SAWANT,"36, 37, 38A, 3rd Floor, , 227 Nariman Bhavan, Mumbai 400 021, Maharashtra, India, MUMBAI, MAHARASHTRA, 400021","36, 37, 38A, 3rd Floor, , 227 Nariman Bhavan, Mumbai 400 021, Maharashtra, India, MUMBAI, MAHARASHTRA, 400021",,,MAHARASHTRA,MUMBAI
Abhi Incubation Angel Fund,IN/AIF1/24-25/1514,"May 07, 2024 - Perpetual",abhimanyu@pushya.net,Abhimanyu Londhe,"23th floor Godrej Platinum, Tower B3 Vikhroli, MUMBAI, MAHARASHTRA, 400079","813, 814, 8th floor, B Wing, Damji Shamji Corporate Square, MUMBAI, MAHARASHTRA, 400075",,,MAHARASHTRA,MUMBAI
Access Fund Trust,IN/AIF2/25-26/1839,"Jul 04, 2025 - Perpetual",nilesh@accesspe.in,Nilesh Mehta,"10th Floor 1004, B Square, Near Neptune House, Iscon Ambali BRTS Road, Ambli, Ahmedabad, Daskroi, AHMEDABAD, GUJARAT, 380058","A 3802, 25 South, Yadav Patil Marg, Off Veer Savarkar Marg, Prabhadevi, MUMBAI, MAHARASHTRA, 400025",,,GUJARAT,MUMBAI
ACCESS INDIA FUND,IN/AIF1/25-26/1947,"Nov 03, 2025 - Perpetual",nilesh@accesspe.in,Nilesh Mehta,"801, Abhijeet, Mithakhali Six Rasta, Ahmedabad, AHMEDABAD, GUJARAT, 380009","A/3802, 25 South, Yadav Patil Marg, Off Veer Savarkar Marg, Prabhadevi, MUMBAI, MAHARASHTRA, 400025",,,GUJARAT,MUMBAI
Accor Growth Fund,IN/AIF3/25-26/1898,"Sep 11, 2025 - Perpetual",capithoncorporate@gmail.com,Surya Tripathi,"Office No - 201, 2nd Floor, Harmony Icon, Zydus Hospital Rd, nr. Baghban Party Plot Road, AHMEDABAD, GUJARAT, 380059","Office No - 201, 2nd Floor, Harmony Icon, Zydus Hospital Rd, nr. Baghban Party Plot Road, AHMEDABAD, GUJARAT, 380059",,,GUJARAT,
Accuracap Prime Opportunities Fund,IN/AIF3/17-18/0521,"Feb 27, 2018 - Perpetual",rnagpal@accuracap.com,Raman Nagpal,"Office no. 919, 9th Floor,, Wave Silver Tower, Sector 18,, NOIDA, UTTAR PRADESH, 201301","Office no. 919, 9th Floor, Wave Silver Tower, Sector 18, NOIDA, UTTAR PRADESH, 201301",,,UTTAR PRADESH,
Achievers Investment Trust,IN/AIF2/25-26/1981,"Dec 09, 2025 - Perpetual",anjanatolani@gmail.com,Anjana Tolani,"Flt B 601, Charmee Enclave, Plot 342, Service Road, Vileeparle East, MUMBAI, MAHARASHTRA, 400057","Flt B 601, Charmee Enclave, Plot 342, Service Road, Vileeparle East, MUMBAI, MAHARASHTRA, 400057",,,MAHARASHTRA,MUMBAI
Achieving Women Entrepreneurs Early Growth Trust,IN/AIF2/19-20/0722,"Aug 06, 2019 - Perpetual",prachi@awefunds.com,Prachi Jain,"1301, C Wing, Rizvi Oak, Sadguru Wamanrao Pai Road, Malad (East), MUMBAI, MAHARASHTRA, 400097","1301, C Wing, Rizvi Oak, Sadguru Wamanrao Pai Road, Malad (East), MUMBAI, MAHARASHTRA, 400097",,,MAHARASHTRA,MUMBAI
ACME CAT III AIF TRUST,IN/AIF3/23-24/1380,"Nov 15, 2023 - Perpetual",csanand.prakash@outlook.com,Anand Prakash,"F23 1, 1st Floor, Krishna Nagar Delhi East, DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110051","B706, Kanakia Wall Street, 7th Floor, BWing, Andheri, MUMBAI, MAHARASHTRA, 400099",,,NATIONAL CAPITAL TERRITORY OF DELHI,MUMBAI
ACME FINVEST TRUST,IN/AIF1/24-25/1767,"Mar 24, 2025 - Perpetual",csanand.prakash@outlook.com,Anand Prakash,"F23, 1, 1st Floor, Krishna Nagar Delhi East Delhi, DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110051","B706, Kanakia Wall Street, 7th Floor, BWing, Andheri East, Mumbai, MUMBAI, MAHARASHTRA, 400099",,,NATIONAL CAPITAL TERRITORY OF DELHI,MUMBAI
Acrobat Capital Fund I,IN/AIF2/25-26/1828,"Jun 12, 2025 - Perpetual",vaibhav@acrobatcapital.in,Vaibhav Goel,"9th Floor, Unit No. 902 and 903, Campus 31, RMZ Ecoworld, Sarjapur, Marathalli Outer Ring Road, Bhoganahalli Village, Varthur Hobli, Bengaluru East Taluk, BANGALORE, KARNATAKA, 560103","9th Floor, Unit No. 902 and 903, Campus 31, RMZ Ecoworld, Sarjapur, Marathalli Outer Ring Road, Bhoganahalli Village, Varthur Hobli, Bengaluru East Taluk, BANGALORE, KARNATAKA, 560103",,,KARNATAKA,BANGALORE
Activate Platform Fund,IN/AIF2/25-26/1976,"Dec 09, 2025 - Perpetual",aakrit.vaish@gmail.com,Aakrit Vaish,"107, Damji Shamji Udyog Bhavan, Veera Desai Road, Andheri W, MUMBAI, MAHARASHTRA, 400053","107, Damji Shamji Udyog Bhavan, Veera Desai Road, Andheri W, MUMBAI, MAHARASHTRA, 400053",,,MAHARASHTRA,MUMBAI
Adi Trust,IN/AIF2/16-17/0258,"Sep 06, 2016 - Perpetual",compliance@trayi.vc,Praveen Yelchuru,,,,,,
Aditya Birla Special Situations Fund,IN/AIF2/18-19/0591,"Oct 03, 2018 - Perpetual",,,"One Indiabulls Center, Tower 1, 16th Floor, , Jupiter Mills Compound, Senapati Bapat Marg, Elphinstone, MUMBAI, MAHARASHTRA, 400013","One Indiabulls Center, Tower 1, 16th Floor, , Jupiter Mills Compound, Senapati Bapat Marg, Elphinstone, MUMBAI, MAHARASHTRA, 400013",,,MAHARASHTRA,MUMBAI
Aditya Birla Sun Life AIF Trust I,IN/AIF3/17-18/0319,"Apr 11, 2017 - Perpetual",parth.makwana@adityabirlacapital.com,Parth Makwana,"One Indiabulls centre, tower 1, 17th floor, , Jupiter mill compound, 841 SB Marg, Elphinstone road, MUMBAI, MAHARASHTRA, 400013",,,,MAHARASHTRA,MUMBAI
Aditya Birla Sun Life AIF Trust II,IN/AIF2/17-18/0513,"Jan 19, 2018 - Perpetual",prannav.shah@adityabirlacapital.com,Prannav Shah,"One Indiabulls Centre, Tower-1, 17th floor, Jupiter Mill Compound, 841, S.B. Marg, Elphinstone Road,, MUMBAI, MAHARASHTRA, 400013","One Indiabulls Centre, Tower-1, 17th floor, Jupiter Mill Compound, 841, S.B. Marg, Elphinstone Road, MUMBAI, MAHARASHTRA, 400013",,,MAHARASHTRA,MUMBAI
